fetch_timestamp,date,count,uniques
2026-01-23T15:28:46.125750,2026-01-09,14,8
2026-01-23T15:28:46.125750,2026-01-10,1,1
2026-01-23T15:28:46.125750,2026-01-11,0,0
2026-01-23T15:28:46.125750,2026-01-12,14,10
2026-01-23T15:28:46.125750,2026-01-13,11,8
2026-01-23T15:28:46.125750,2026-01-14,1,1
2026-01-23T15:28:46.125750,2026-01-15,9,6
2026-01-23T15:28:46.125750,2026-01-16,9,7
2026-01-23T15:28:46.125750,2026-01-17,1,1
2026-01-23T15:28:46.125750,2026-01-18,0,0
2026-01-23T15:28:46.125750,2026-01-19,0,0
2026-01-23T15:28:46.125750,2026-01-20,7,5
2026-01-23T15:28:46.125750,2026-01-21,2,2
2026-01-23T15:28:46.125750,2026-01-22,4,3
